****4****
100
10;30;361;
10;30;155;
10;30;863;
10;30;468;
10;30;471;
10;30;493;
10;30;919;
10;30;104;
10;30;736;
10;30;97;
10;30;726;
10;30;409;
10;30;691;
10;30;576;
10;30;251;
10;30;383;
10;30;999;
10;30;733;
10;30;929;
10;30;174;
10;30;468;
10;30;992;
10;30;795;
10;30;927;
10;30;921;
10;30;427;
10;30;784;
10;30;513;
10;30;24;
10;30;588;
10;30;594;
10;30;583;
10;30;830;
10;30;133;
10;30;713;
10;30;715;
10;30;831;
10;30;72;
10;30;38;
10;30;467;
10;30;498;
10;30;639;
10;30;412;
10;30;804;
10;30;256;
10;30;355;
10;30;9;
10;30;173;
10;30;819;
10;30;923;
30;10;726;
30;10;453;
30;10;581;
30;10;448;
30;10;339;
30;10;846;
30;10;358;
30;10;750;
30;10;775;
30;10;604;
30;10;299;
30;10;838;
30;10;214;
30;10;897;
30;10;755;
30;10;826;
30;10;252;
30;10;883;
30;10;795;
30;10;968;
30;10;56;
30;10;265;
30;10;460;
30;10;746;
30;10;205;
30;10;106;
30;10;747;
30;10;877;
30;10;517;
30;10;478;
30;10;802;
30;10;577;
30;10;63;
30;10;577;
30;10;318;
30;10;872;
30;10;155;
30;10;261;
30;10;145;
30;10;603;
30;10;379;
30;10;862;
30;10;48;
30;10;593;
30;10;620;
30;10;172;
30;10;911;
30;10;257;
30;10;437;
30;10;589;
1;43;802;
2;156;1409;
3;240;171;
4;95;1009;
5;168;463;
6;9;651;
7;110;1134;
8;200;1800;
9;13;670;
10;38;1574;
11;28;52;
12;28;88;
13;19;1113;
14;76;1280;
15;70;1727;
16;23;977;
17;42;846;
18;75;1615;
19;48;920;
20;3;12;
21;38;411;
22;38;705;
23;11;1249;
24;11;787;
25;1;756;
26;28;1379;
27;20;1690;
28;27;892;
29;6;21;
30;1;27;
31;9;696;
32;5;453;
33;10;33;
34;16;1356;
35;9;1261;
36;4;1373;
37;1;167;
38;9;153;
39;3;119;
40;2;126;
****EOF****
