****1****
50
5;5;322;
6;27;124;
2;33;135;
7;18;240;
8;6;16;
9;37;96;
9;4;315;
6;30;242;
9;21;307;
1;18;109;
5;26;302;
3;23;213;
5;33;270;
7;35;290;
5;12;321;
6;17;13;
2;13;271;
9;29;171;
3;33;23;
2;10;69;
6;3;74;
5;1;262;
2;3;10;
5;37;323;
3;22;296;
1;9;116;
17;3;138;
24;8;64;
37;7;142;
27;6;101;
28;8;86;
20;4;12;
17;3;124;
23;3;332;
10;7;25;
2;1;132;
4;5;249;
11;3;83;
36;3;258;
14;9;148;
9;6;313;
39;5;328;
25;5;287;
37;8;307;
9;8;303;
24;8;248;
24;10;233;
37;1;295;
22;2;164;
39;6;286;
1;144;485;
2;59;352;
3;15;194;
4;81;250;
5;65;413;
6;38;100;
7;76;7;
8;23;658;
9;1;346;
10;13;174;
11;15;235;
12;6;153;
13;10;225;
14;1;632;
15;9;210;
16;4;480;
17;1;189;
18;6;92;
19;2;83;
20;9;644;
21;3;85;
22;3;165;
23;11;142;
24;1;162;
25;8;634;
26;1;219;
27;9;332;
28;2;654;
29;1;161;
30;1;351;
31;1;631;
32;1;0;
33;1;223;
34;1;168;
35;1;1;
36;1;630;
37;1;141;
38;1;193;
39;4;169;
40;3;3;
41;1;98;
42;1;347;
43;1;344;
44;1;349;
45;2;90;
46;1;643;
47;1;657;
48;2;139;
49;1;190;
50;1;220;
51;2;221;
52;1;342;
53;1;341;
54;1;138;
55;1;653;
56;1;331;
57;2;163;
58;1;484;
59;1;159;
60;1;633;
61;1;629;
62;1;99;
63;1;88;
64;1;656;
65;1;345;
66;1;192;
67;2;411;
68;1;191;
69;1;642;
70;1;173;
71;1;343;
72;1;187;
73;1;224;
74;1;89;
75;2;478;
****EOF****
